Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Change Return Type,get_optional_arguments,get_optional_arguments,lib/cli/args.py/ExtractArgs,343.0,364.0,['The return type of method get_optional_arguments from the module lib/cli/args.py in class ExtractArgs is updated'],7b9fc0454d982a2425ec44e90e5b05a87d149953,,,,,,,
Change Return Type,get_optional_arguments,get_optional_arguments,lib/cli/args.py/ConvertArgs,613.0,634.0,['The return type of method get_optional_arguments from the module lib/cli/args.py in class ConvertArgs is updated'],7b9fc0454d982a2425ec44e90e5b05a87d149953,,,,,,,
Change Return Type,get_argument_list,get_argument_list,lib/cli/args.py/TrainArgs,868.0,889.0,['The return type of method get_argument_list from the module lib/cli/args.py in class TrainArgs is updated'],7b9fc0454d982a2425ec44e90e5b05a87d149953,,,,,,,
Change Return Type,get_argument_list,get_argument_list,lib/cli/args.py/GuiArgs,1133.0,1144.0,['The return type of method get_argument_list from the module lib/cli/args.py in class GuiArgs is updated'],7b9fc0454d982a2425ec44e90e5b05a87d149953,,,,,,,
Remove Parameter,__init__,__init__,plugins/train/trainer/_base.py/_Samples,618.0,614.0,['The parameters [ scaling ] of the method __init__ from the module plugins/train/trainer/_base.py in class _Samples is/are removed'],7b9fc0454d982a2425ec44e90e5b05a87d149953,,,,,,,
Add Parameter,_create_basis,_create_basis,lib/model/initializers.py/ConvolutionAware,173.0,164.0,['The parameters [ filters_size ] are added to the method _create_basis from the module lib/model/initializers.py in class ConvolutionAware'],7bdaa81cbef16d3626b3044bfe5c279120a9c0a0,,,,,,,
Rename Method,conv_sep3,conv_inst_norm,plugins/Model_OriginalHighRes/Model.py/Model,163.0,166.0,['The method conv_sep3 from the module plugins/Model_OriginalHighRes/Model.py in class Model is renamed to conv_inst_norm'],7bff6b5de2ab26aadeb8c3610d45bc66ec2cf4c3,,,,,,,
Rename Method,upscale_sep3,upscale_inst_norm,plugins/Model_OriginalHighRes/Model.py/Model,181.0,184.0,['The method upscale_sep3 from the module plugins/Model_OriginalHighRes/Model.py in class Model is renamed to upscale_inst_norm'],7bff6b5de2ab26aadeb8c3610d45bc66ec2cf4c3,,,,,,,
Extract Method,convert_one_image,superpose,lib/faces_process.py,,, The method superpose from the module lib/faces_process.py is extracted from method convert_one_image from the module lib/faces_process.py ,7d29b10cc5cf70c89a97dc2f33e4c6c104cde349,"(14,19)",34.0,"[23.0, 24.0, 25.0]",,,,
Change Return Type,get_trainer,get_trainer,plugins/plugin_loader.py/PluginLoader,113.0,113.0,['The return type of method get_trainer from the module plugins/plugin_loader.py in class PluginLoader is updated'],7da2cc3dd266aabebf41a31384cc2e0e7e5af6e5,,,,,,,
Remove Parameter,__init__,__init__,lib/alignments.py/Alignments,26.0,30.0,['The parameters [ verbose ] of the method __init__ from the module lib/alignments.py in class Alignments is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
