Refactoring Type,Original,Updated,Location,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Description,Commit,Original Line,Updated Line,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,__init__,__init__,auto_ml/utils.py/FinalModelATC,,,,['The parameters [ model ] are added to the method __init__ from the module auto_ml/utils.py in class FinalModelATC'],32a0c843906c8d32b1e5e2c88b54fb48ec0927df,207.0,367.0,,,,
Extract Method,get_summary_stats,process_one_row,auto_ml/utils_ensemble.py/Ensemble,"(80,86)",116.0,"[92.0, 94.0, 97.0, 98.0, 99.0, 101.0, 102.0, 104.0, 105.0]", The method process_one_row from the module auto_ml/utils_ensemble.py in class Ensemble is extracted from method get_summary_stats from the module auto_ml/utils_ensemble.py in class Ensemble ,343a835a26b6fbf1b7bd62965b74ed2d688319a5,,,,,,
Add Parameter,__init__,__init__,auto_ml/utils_ensemble.py/AddEnsembledPredictions,,,,['The parameters [ include_original_X ] are added to the method __init__ from the module auto_ml/utils_ensemble.py in class AddEnsembledPredictions'],343a835a26b6fbf1b7bd62965b74ed2d688319a5,235.0,257.0,,,,
Remove Parameter,_train_subpredictor,_train_subpredictor,auto_ml/predictor.py/Predictor,,,,['The parameters [ type_of_estimator ] of the method _train_subpredictor from the module auto_ml/predictor.py in class Predictor is/are removed'],35f80d761386ceba7578872448df81f8a709f036,235.0,235.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils_categorical_ensembling.py/CategoricalEnsembler,,,,['The parameters [ default_category ] are added to the method __init__ from the module auto_ml/utils_categorical_ensembling.py in class CategoricalEnsembler'],3ce26ba60c6568a05f92283c2d8241fc1e09f2db,5.0,5.0,,,,
Rename Method,test_optimize_final_model_classification,test_calibrate_final_model_classification,tests/calibrate_classifier_tests.py,,,,['The method test_optimize_final_model_classification from the module tests/calibrate_classifier_tests.py is renamed to test_calibrate_final_model_classification'],40c92bd4f37254a4c8ab4bff21e21b6a0014602a,14.0,14.0,,,,
Add Parameter,train_ensemble,train_ensemble,auto_ml/predictor.py/Predictor,,,,['The parameters [ verbose ] are added to the method train_ensemble from the module auto_ml/predictor.py in class Predictor'],41897ebf1142a48e3f7bdb93e08736ff268a6032,325.0,325.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils.py/FinalModelATC,,,,['The parameters [ name ] are added to the method __init__ from the module auto_ml/utils.py in class FinalModelATC'],41897ebf1142a48e3f7bdb93e08736ff268a6032,533.0,533.0,,,,
Add Parameter,rmse_scoring,rmse_scoring,auto_ml/utils.py,,,,['The parameters [ took_log_of_y ] are added to the method rmse_scoring from the module auto_ml/utils.py'],421fb783fad2bd37ea7d5db06f023b59e6f94d8f,386.0,386.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils.py/FinalModelATC,,,,['The parameters [ output_column ] are added to the method __init__ from the module auto_ml/utils.py in class FinalModelATC'],42f416e4b13d218e728c630a2beb3bde72c6a22d,370.0,370.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils.py/ExtendedPipeline,,,,['The parameters [ keep_cat_features ] are added to the method __init__ from the module auto_ml/utils.py in class ExtendedPipeline'],4497fbc48bfa54993b1ecf62a81185adb026c70a,171.0,171.0,,,,
Rename Method,test_perform_feature_scaling,test_perform_feature_scaling_false,tests/api_coverage_tests.py,,,,['The method test_perform_feature_scaling from the module tests/api_coverage_tests.py is renamed to test_perform_feature_scaling_false'],4501f5d1c0e02a286fe3c14906dbb5721d0e943a,58.0,98.0,,,,
Rename Method,test_perform_feature_selection,test_perform_feature_selection_false,tests/api_coverage_tests.py,,,,['The method test_perform_feature_selection from the module tests/api_coverage_tests.py is renamed to test_perform_feature_selection_false'],4501f5d1c0e02a286fe3c14906dbb5721d0e943a,37.0,57.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils.py/CustomSparseScaler,,,,['The parameters [ perform_feature_scaling ] are added to the method __init__ from the module auto_ml/utils.py in class CustomSparseScaler'],4590dd1082ae9d1f21273de755a5592f16c35a8d,637.0,638.0,,,,
Add Parameter,brier_score_loss_wrapper,brier_score_loss_wrapper,auto_ml/utils.py,,,,['The parameters [ advanced_scoring ] are added to the method brier_score_loss_wrapper from the module auto_ml/utils.py'],45b54a8ddcd51c3b37b83af41caa187424990f63,626.0,656.0,,,,
Add Parameter,_join_and_print_analytics_results,_join_and_print_analytics_results,auto_ml/predictor.py/Predictor,,,,['The parameters [ sort_field ] are added to the method _join_and_print_analytics_results from the module auto_ml/predictor.py in class Predictor'],462d31c615671a48dcac9d77e6de1bc360b31fee,1249.0,1284.0,,,,
Remove Parameter,_print_ml_analytics_results_linear_model,_print_ml_analytics_results_linear_model,auto_ml/predictor.py/Predictor,,,,['The parameters [ feature_responses ] of the method _print_ml_analytics_results_linear_model from the module auto_ml/predictor.py in class Predictor is/are removed'],462d31c615671a48dcac9d77e6de1bc360b31fee,1334.0,1362.0,,,,
Remove Parameter,_print_ml_analytics_results_random_forest,_print_ml_analytics_results_random_forest,auto_ml/predictor.py/Predictor,,,,['The parameters [ feature_responses ] of the method _print_ml_analytics_results_random_forest from the module auto_ml/predictor.py in class Predictor is/are removed'],462d31c615671a48dcac9d77e6de1bc360b31fee,1298.0,1326.0,,,,
Add Parameter,create_feature_responses,create_feature_responses,auto_ml/predictor.py/Predictor,,,,['The parameters [ top_features ] are added to the method create_feature_responses from the module auto_ml/predictor.py in class Predictor'],462d31c615671a48dcac9d77e6de1bc360b31fee,760.0,760.0,,,,
Add Parameter,fit_grid_search,fit_grid_search,auto_ml/predictor.py/Predictor,,,,['The parameters [ refit ] are added to the method fit_grid_search from the module auto_ml/predictor.py in class Predictor'],47d8a4d07f00aad551ade352afd5605a9467dc0e,952.0,952.0,,,,
Add Parameter,_construct_pipeline_search_params,_construct_pipeline_search_params,auto_ml/predictor.py/Predictor,,,,['The parameters [ user_defined_model_names ] are added to the method _construct_pipeline_search_params from the module auto_ml/predictor.py in class Predictor'],49780330820fbabf9fab4ab2957827ebe02f14f6,73.0,73.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ model_names ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],49780330820fbabf9fab4ab2957827ebe02f14f6,161.0,168.0,,,,
Add Parameter,ml_for_analytics,ml_for_analytics,auto_ml/predictor.py/Predictor,,,,['The parameters [ X_test y_test ] are added to the method ml_for_analytics from the module auto_ml/predictor.py in class Predictor'],4e4bedda6c251c90d5e5d73e198cf3e1849eaeb0,193.0,193.0,,,,
Rename Method,get_grid_search_params,get_search_params,auto_ml/utils.py/FinalModelATC,,,,['The method get_grid_search_params from the module auto_ml/utils.py in class FinalModelATC is renamed to get_search_params'],4e4d27597ab34412832700ba1098199eb54a8f7e,59.0,59.0,,,,
Add Parameter,set_params_and_defaults,set_params_and_defaults,auto_ml/predictor.py/Predictor,,,,['The parameters [ X_df ] are added to the method set_params_and_defaults from the module auto_ml/predictor.py in class Predictor'],4f6f68adeeabddf44204b69fd33bac7a96698dda,297.0,297.0,,,,
Add Parameter,set_params_and_defaults,set_params_and_defaults,auto_ml/predictor.py/Predictor,,,,['The parameters [ calibrate_uncertainty uncertainty_calibration_settings uncertainty_calibration_data ] are added to the method set_params_and_defaults from the module auto_ml/predictor.py in class Predictor'],5406774989ecbc6ccb528ac1b1db25575448bda0,296.0,296.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ calibrate_uncertainty uncertainty_calibration_settings uncertainty_calibration_data ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],5406774989ecbc6ccb528ac1b1db25575448bda0,482.0,495.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils_model_training.py/FinalModelATC,,,,['The parameters [ uc_results ] are added to the method __init__ from the module auto_ml/utils_model_training.py in class FinalModelATC'],5406774989ecbc6ccb528ac1b1db25575448bda0,32.0,32.0,,,,
Remove Parameter,predict,predict,auto_ml/utils_model_training.py/FinalModelATC,,,,['The parameters [ predict_uncertainty ] of the method predict from the module auto_ml/utils_model_training.py in class FinalModelATC is/are removed'],5406774989ecbc6ccb528ac1b1db25575448bda0,304.0,305.0,,,,
Add Parameter,make_deep_learning_classifier,make_deep_learning_classifier,auto_ml/utils.py,,,,['The parameters [ final_activation ] are added to the method make_deep_learning_classifier from the module auto_ml/utils.py'],5afee8c5203107d1736e304f01aa48411a0015e9,72.0,72.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils.py/FinalModelATC,,,,['The parameters [ ml_for_analytics ] are added to the method __init__ from the module auto_ml/utils.py in class FinalModelATC'],5b52e8b37892e4bf1e227a142c17d2738188d409,70.0,70.0,,,,
Remove Parameter,_construct_pipeline,_construct_pipeline,auto_ml/predictor.py/Predictor,,,,['The parameters [ user_input_func perform_feature_selection ml_for_analytics ] of the method _construct_pipeline from the module auto_ml/predictor.py in class Predictor is/are removed'],5d568975e9ea60667cf201eda064a2a1c698e0cb,77.0,77.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ calibrate_final_model ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],5e37e1673d910649fe953dd8afc9c89646278b98,496.0,497.0,,,,
Add Parameter,set_params_and_defaults,set_params_and_defaults,auto_ml/predictor.py/Predictor,,,,['The parameters [ predict_uncertainty ] are added to the method set_params_and_defaults from the module auto_ml/predictor.py in class Predictor'],5f3b8875a92770e67d23e80ef203e01f641e694b,296.0,296.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ predict_uncertainty ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],5f3b8875a92770e67d23e80ef203e01f641e694b,453.0,454.0,,,,
