Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,eval_step,eval_step,texar/models/tsf/tsf_classifier_lm.py/TSFClassifierLM,392.0,413.0,['The parameters [ rho_lm ] are added to the method eval_step from the module texar/models/tsf/tsf_classifier_lm.py in class TSFClassifierLM'],1629d23ed2688462f9a539b1142cb5088270bef5,,,,,,,
Add Parameter,_get_dropout_layer,_get_dropout_layer,texar/modules/embedders/embedder_base.py/EmbedderBase,44.0,44.0,['The parameters [ dropout_strategy ] are added to the method _get_dropout_layer from the module texar/modules/embedders/embedder_base.py in class EmbedderBase'],1a7fa6010b7234bb9efddf761c9bf52af07dc347,,,,,,,
Add Parameter,_build,_build,texar/modules/embedders/embedders.py/WordEmbedder,105.0,106.0,['The parameters [ soft_ids ] are added to the method _build from the module texar/modules/embedders/embedders.py in class WordEmbedder'],1a7fa6010b7234bb9efddf761c9bf52af07dc347,,,,,,,
Add Parameter,corpus_bleu,corpus_bleu,texar/evals/bleu.py,51.0,70.0,['The parameters [ return_all ] are added to the method corpus_bleu from the module texar/evals/bleu.py'],1c44b7951e582b0fe3e5423b5fdc8261536befd6,,,,,,,
Add Parameter,sentence_bleu,sentence_bleu,texar/evals/bleu.py,33.0,45.0,['The parameters [ return_all ] are added to the method sentence_bleu from the module texar/evals/bleu.py'],1c44b7951e582b0fe3e5423b5fdc8261536befd6,,,,,,,
Change/Rename Parameter,make_helper,make_helper,txtgen/modules/decoders/rnn_decoder_helpers.py,71.0,71.0,['The parameters [ start_token ] of the method make_helper from the module txtgen/modules/decoders/rnn_decoder_helpers.py are changed/renamed to [start_tokens]'],1c499b27e225d0c3b8634347c1bb924e26842cd1,,,,,,,
Add Parameter,__init__,__init__,txtgen/modules/decoders/rnn_decoders.py/BasicRNNDecoder,21.0,21.0,['The parameters [ embedding embedding_trainable ] are added to the method __init__ from the module txtgen/modules/decoders/rnn_decoders.py in class BasicRNNDecoder'],1c499b27e225d0c3b8634347c1bb924e26842cd1,,,,,,,
Extract Method,__init__,_build_layers,txtgen/modules/networks.py/FeedForwardNetwork,,, The method _build_layers from the module txtgen/modules/networks.py in class FeedForwardNetwork is extracted from method __init__ from the module txtgen/modules/networks.py in class FeedForwardNetwork ,1da494ca95036ff07597623bf6419f02712a7640,"(29,29)",49.0,"[32.0, 33.0, 34.0, 37.0, 38.0, 43.0, 44.0, 45.0, 46.0]",,,,
Add Parameter,_build,_build,texar/modules/memory/memory_network.py/MemNetRNNLike,487.0,507.0,['The parameters [ soft_query ] are added to the method _build from the module texar/modules/memory/memory_network.py in class MemNetRNNLike'],1e2f1275d0d36f827cc384c78cab5c2a835dc35a,,,,,,,
Change/Rename Parameter,_build,_build,texar/modules/decoders/transformer_decoders.py/TransformerDecoder,125.0,125.0,['The parameters [ targets ] of the method _build from the module texar/modules/decoders/transformer_decoders.py in class TransformerDecoder are changed/renamed to [decoder_input]'],1e3ae9603791d2b58c0c385d52fefc92af65aaa2,,,,,,,
