Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,add_video,add_video,tensorboardX/writer.py/SummaryWriter,433.0,442.0,['The parameters [ walltime ] are added to the method add_video from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,make_video,make_video,tensorboardX/summary.py,188.0,188.0,['The parameters [ fps ] are added to the method make_video from the module tensorboardX/summary.py'],4b8d6423dd77a80eb47072fecaf0a9233a2be1e8,,,,,,,
Add Parameter,video,video,tensorboardX/summary.py,179.0,179.0,['The parameters [ fps ] are added to the method video from the module tensorboardX/summary.py'],4b8d6423dd77a80eb47072fecaf0a9233a2be1e8,,,,,,,
Add Parameter,add_video,add_video,tensorboardX/writer.py/SummaryWriter,344.0,344.0,['The parameters [ fps ] are added to the method add_video from the module tensorboardX/writer.py in class SummaryWriter'],4b8d6423dd77a80eb47072fecaf0a9233a2be1e8,,,,,,,
Extract Method,gg,parse,tensorboardX/onnx_graph.py,,, The method parse from the module tensorboardX/onnx_graph.py is extracted from method gg from the module tensorboardX/onnx_graph.py ,4e7bb739cb1a70191c58411d8a01536a82c9b4bd,,,,,"(9,8)",14.0,"[12.0, 13.0, 15.0, 16.0, 17.0, 19.0, 20.0, 32.0, 33.0, 34.0, 35.0, 36.0, 38.0, 45.0, 46.0, 47.0, 53.0]"
Change/Rename Parameter,__init__,__init__,tensorboardX/pytorch_graph.py/NodeBase,18.0,18.0,['The parameters [ uniqueName ] of the method __init__ from the module tensorboardX/pytorch_graph.py in class NodeBase are changed/renamed to [debugName]'],526ad95d0430c5a2a6ffd2f2fae2edb71daa6d9b,,,,,,,
Remove Parameter,__init__,__init__,tensorboardX/record_writer.py/RecordWriter,108.0,108.0,['The parameters [ flush_secs ] of the method __init__ from the module tensorboardX/record_writer.py in class RecordWriter is/are removed'],528999fda0eafa678cac9434a598f614dc476cc5,,,,,,,
Rename Method,chainer_np,prepare_chainer,tensorboardX/x2num.py,51.0,58.0,['The method chainer_np from the module tensorboardX/x2num.py is renamed to prepare_chainer'],5735e6617907607eccfe62fd8a3875128b52d77b,,,,,,,
Rename Method,mxnet_np,prepare_mxnet,tensorboardX/x2num.py,44.0,51.0,['The method mxnet_np from the module tensorboardX/x2num.py is renamed to prepare_mxnet'],5735e6617907607eccfe62fd8a3875128b52d77b,,,,,,,
Rename Method,pytorch_np,prepare_pytorch,tensorboardX/x2num.py,22.0,29.0,['The method pytorch_np from the module tensorboardX/x2num.py is renamed to prepare_pytorch'],5735e6617907607eccfe62fd8a3875128b52d77b,,,,,,,
Rename Method,theano_np,prepare_theano,tensorboardX/x2num.py,35.0,42.0,['The method theano_np from the module tensorboardX/x2num.py is renamed to prepare_theano'],5735e6617907607eccfe62fd8a3875128b52d77b,,,,,,,
Change/Rename Parameter,AttrValue_proto,AttrValue_proto,tensorboardX/proto_graph.py,15.0,15.0,['The parameters [ type ] of the method AttrValue_proto from the module tensorboardX/proto_graph.py are changed/renamed to [dtype]'],5eb0b0be02a0dff83b66917253d7e1dc271941fd,,,,,,,
Add Parameter,Node_proto,Node_proto,tensorboardX/proto_graph.py,34.0,34.0,['The parameters [ attributes ] are added to the method Node_proto from the module tensorboardX/proto_graph.py'],5eb0b0be02a0dff83b66917253d7e1dc271941fd,,,,,,,
Add Parameter,__init__,__init__,tensorboardX/pytorch_graph.py/Node_base,20.0,20.0,['The parameters [ op_type attributes ] are added to the method __init__ from the module tensorboardX/pytorch_graph.py in class Node_base'],5eb0b0be02a0dff83b66917253d7e1dc271941fd,,,,,,,
Rename Method,parse_2,parse,tensorboardX/pytorch_graph.py,127.0,141.0,['The method parse_2 from the module tensorboardX/pytorch_graph.py is renamed to parse'],5eb0b0be02a0dff83b66917253d7e1dc271941fd,,,,,,,
Add Parameter,graph,graph,tensorboardX/pytorch_graph.py,285.0,309.0,['The parameters [ use_cuda ] are added to the method graph from the module tensorboardX/pytorch_graph.py'],656037e6b5e9be4541bb0b84813ce49c77e6923e,,,,,,,
Add Parameter,add_graph,add_graph,tensorboardX/writer.py/SummaryWriter,770.0,770.0,['The parameters [ profile_with_cuda ] are added to the method add_graph from the module tensorboardX/writer.py in class SummaryWriter'],656037e6b5e9be4541bb0b84813ce49c77e6923e,,,,,,,
Rename Method,crc32c,_crc32c,tensorboardX/crc32c.py,115.0,122.0,['The method crc32c from the module tensorboardX/crc32c.py is renamed to _crc32c'],67d0746a772ce2f95d625e9bf55f984883744c60,,,,,,,
Rename Method,test_embedding,test_embedding_64,tests/test_embedding.py/EmbeddingTest,21.0,27.0,['The method test_embedding from the module tests/test_embedding.py in class EmbeddingTest is renamed to test_embedding_64'],69ec912ed50b3e8c702ca83988798c017e25cca7,,,,,,,
Add Parameter,add_hparams,add_hparams,tensorboardX/writer.py/SummaryWriter,337.0,337.0,['The parameters [ name global_step ] are added to the method add_hparams from the module tensorboardX/writer.py in class SummaryWriter'],72f5e9ecce04f7cffec28a596a6f9377bc9170ce,,,,,,,
Remove Parameter,graph,graph,tensorboardX/pytorch_graph.py,187.0,187.0,['The parameters [ omit_useless_nodes ] of the method graph from the module tensorboardX/pytorch_graph.py is/are removed'],739844a886e29e93184b01a6d2313cb51643f7c4,,,,,,,
Rename Class,Mnist,Net1,demo_graph.py,,, class Mnist was renamed to class Net1 ,78ba1c8cfcd2c31f1e1b007d2e20e771049e869b,,,,,,,
Add Parameter,histogram,histogram,tensorboard/summary.py,92.0,92.0,['The parameters [ bins ] are added to the method histogram from the module tensorboard/summary.py'],86a0e50139837f8eca1450afdf109cb2274d5e32,,,,,,,
Add Parameter,append_pbtxt,append_pbtxt,tensorboardX/embedding.py,31.0,31.0,['The parameters [ tag ] are added to the method append_pbtxt from the module tensorboardX/embedding.py'],8f8d6c9aa68776a5578c60d2dc9b46510bbf5d07,,,,,,,
Add Parameter,add_embedding,add_embedding,tensorboardX/writer.py/SummaryWriter,379.0,379.0,['The parameters [ tag ] are added to the method add_embedding from the module tensorboardX/writer.py in class SummaryWriter'],8f8d6c9aa68776a5578c60d2dc9b46510bbf5d07,,,,,,,
Add Parameter,__init__,__init__,tensorboardX/writer.py/SummaryWriter,192.0,192.0,['The parameters [ log_dir ] are added to the method __init__ from the module tensorboardX/writer.py in class SummaryWriter'],9502862adffe2e4652a44f725147c2e889deedfe,,,,,,,
Change/Rename Parameter,add_histogram,add_histogram,tensorboard/writer.py/SummaryWriter,253.0,253.0,['The parameters [ name ] of the method add_histogram from the module tensorboard/writer.py in class SummaryWriter are changed/renamed to [tag]'],9d480a30960303d025f81f0bf758e6193f4c09e4,,,,,,,
Change/Rename Parameter,add_scalar,add_scalar,tensorboard/writer.py/SummaryWriter,242.0,242.0,['The parameters [ name ] of the method add_scalar from the module tensorboard/writer.py in class SummaryWriter are changed/renamed to [tag]'],9d480a30960303d025f81f0bf758e6193f4c09e4,,,,,,,
Add Parameter,graph,graph,tensorboardX/graph.py,39.0,41.0,['The parameters [ verbose ] are added to the method graph from the module tensorboardX/graph.py'],a01dec23982db47fcfc4dfb7ea4538b5f76db6d2,,,,,,,
Add Parameter,add_graph,add_graph,tensorboardX/writer.py/SummaryWriter,379.0,379.0,['The parameters [ verbose ] are added to the method add_graph from the module tensorboardX/writer.py in class SummaryWriter'],a01dec23982db47fcfc4dfb7ea4538b5f76db6d2,,,,,,,
Add Parameter,add_scalar,add_scalar,tensorboardX/writer.py/SummaryWriter,384.0,384.0,['The parameters [ display_name summary_description ] are added to the method add_scalar from the module tensorboardX/writer.py in class SummaryWriter'],a31c121e99c4e72de59aaac769a8b44eb89c19ec,,,,,,,
Add Parameter,add_audio,add_audio,tensorboardX/writer.py/SummaryWriter,320.0,320.0,['The parameters [ sample_rate ] are added to the method add_audio from the module tensorboardX/writer.py in class SummaryWriter'],a58d1d54b21a3487399751b2ce2ce31030b55dff,,,,,,,
Remove Parameter,update,update,tensorboardX/beholder/beholder.py/Beholder,175.0,174.0,['The parameters [ session ] of the method update from the module tensorboardX/beholder/beholder.py in class Beholder is/are removed'],ad2ff3124948b32978b41d5b3e66630f05d0f6fe,,,,,,,
Move Method,add_embedding,add_embedding,,,, method add_embedding from the module tensorboard/embedding.py was moved to class SummaryWriter of module tensorboard/writer.py ,b4d84aa2eaecdf9b8e7f05d63698cc392a817df6,tensorboard/embedding.py,tensorboard/writer.py/SummaryWriter,52.0,333.0,,,
Rename Method,add_graph_onnx,add_onnx_graph,tensorboardX/visdom_writer.py/VisdomWriter,246.0,246.0,['The method add_graph_onnx from the module tensorboardX/visdom_writer.py in class VisdomWriter is renamed to add_onnx_graph'],b5ac736ff2e93dac2cd283610e309b38dd20d58d,,,,,,,
Rename Method,add_graph_onnx,add_onnx_graph,tensorboardX/writer.py/SummaryToEventTransformer,119.0,119.0,['The method add_graph_onnx from the module tensorboardX/writer.py in class SummaryToEventTransformer is renamed to add_onnx_graph'],b5ac736ff2e93dac2cd283610e309b38dd20d58d,,,,,,,
Rename Class,NumpyTest,PytorchGraphTest,tests/test_pytorch_graph.py,,, class NumpyTest was renamed to class PytorchGraphTest ,b6a13f3fa988982c1090dc19d72ce68eb1658417,,,,,,,
Change/Rename Parameter,__init__,__init__,tensorboardX/event_file_writer.py/EventFileWriter,96.0,87.0,['The parameters [ max_queue ] of the method __init__ from the module tensorboardX/event_file_writer.py in class EventFileWriter are changed/renamed to [max_queue_size]'],bf8c6795779fbf225a6bbfefb5a53f9191e7440e,,,,,,,
Change/Rename Parameter,__init__,__init__,tensorboardX/event_file_writer.py/_EventLoggerThread,174.0,165.0,['The parameters [ ev_writer ] of the method __init__ from the module tensorboardX/event_file_writer.py in class _EventLoggerThread are changed/renamed to [record_writer]'],bf8c6795779fbf225a6bbfefb5a53f9191e7440e,,,,,,,
Rename Method,gg,load_onnx_graph,tensorboardX/onnx_graph.py,9.0,8.0,['The method gg from the module tensorboardX/onnx_graph.py is renamed to load_onnx_graph'],bf8c6795779fbf225a6bbfefb5a53f9191e7440e,,,,,,,
Rename Method,AttrValue_proto,attr_value_proto,tensorboardX/proto_graph.py,15.0,8.0,['The method AttrValue_proto from the module tensorboardX/proto_graph.py is renamed to attr_value_proto'],bf8c6795779fbf225a6bbfefb5a53f9191e7440e,,,,,,,
Rename Method,Node_proto,node_proto,tensorboardX/proto_graph.py,34.0,30.0,['The method Node_proto from the module tensorboardX/proto_graph.py is renamed to node_proto'],bf8c6795779fbf225a6bbfefb5a53f9191e7440e,,,,,,,
Rename Method,TensorShape_proto,tensor_shape_proto,tensorboardX/proto_graph.py,30.0,23.0,['The method TensorShape_proto from the module tensorboardX/proto_graph.py is renamed to tensor_shape_proto'],bf8c6795779fbf225a6bbfefb5a53f9191e7440e,,,,,,,
Remove Parameter,__init__,__init__,tensorboardX/writer.py/FileWriter,81.0,69.0,['The parameters [ graph graph_def ] of the method __init__ from the module tensorboardX/writer.py in class FileWriter is/are removed'],bf8c6795779fbf225a6bbfefb5a53f9191e7440e,,,,,,,
