Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,distribute_cards_to_players,distribute_cards_to_players,decisionmaker/montecarlo_v3.py/MonteCarlo,122.0,147.0,['The parameters [ opponent_allowed_cards ] are added to the method distribute_cards_to_players from the module decisionmaker/montecarlo_v3.py in class MonteCarlo'],3492a081299db1aa41c7ab21aa45f97b322d822a,,,,,,,
Add Parameter,run_montecarlo,run_montecarlo,decisionmaker/montecarlo_v3.py/MonteCarlo,153.0,184.0,['The parameters [ opponent_call_probability ] are added to the method run_montecarlo from the module decisionmaker/montecarlo_v3.py in class MonteCarlo'],3492a081299db1aa41c7ab21aa45f97b322d822a,,,,,,,
Rename Method,save_strategy,create_new_strategy,mongo_manager.py/StrategyHandler,28.0,48.0,['The method save_strategy from the module mongo_manager.py in class StrategyHandler is renamed to create_new_strategy'],357a854530fa06ad9d1d0bc93ebaa86f2e46b285,,,,,,,
Add Parameter,binarize_array_opencv,binarize_array_opencv,poker/tools/screen_operations.py,68.0,72.0,['The parameters [ threshold ] are added to the method binarize_array_opencv from the module poker/tools/screen_operations.py'],3636101def246633fe34604baaa8c4df7d355c4b,,,,,,,
Add Parameter,prepareImage,prepareImage,poker/tools/screen_operations.py,65.0,69.0,['The parameters [ threshold ] are added to the method prepareImage from the module poker/tools/screen_operations.py'],3636101def246633fe34604baaa8c4df7d355c4b,,,,,,,
Add Parameter,distribute_cards_to_players,distribute_cards_to_players,decisionmaker/montecarlo_python.py/MonteCarlo,319.0,319.0,['The parameters [ passes ] are added to the method distribute_cards_to_players from the module decisionmaker/montecarlo_python.py in class MonteCarlo'],3940eb2e4019a854e263d69182c6d6a30d7705ca,,,,,,,
Change/Rename Parameter,check_straight,check_straight,decisionmaker/outs_calculator.py/Outs_Calculator,200.0,414.0,['The parameters [ handList ] of the method check_straight from the module decisionmaker/outs_calculator.py in class Outs_Calculator are changed/renamed to [hand_list]'],3ab203076e8b93c72d1298fb9c449085b54273aa,,,,,,,
Remove Parameter,get_neural_training_data,get_neural_training_data,poker/tools/mongo_manager.py/GameLogger,308.0,308.0,['The parameters [ p_name p_value game_stage decision ] of the method get_neural_training_data from the module poker/tools/mongo_manager.py in class GameLogger is/are removed'],3adc96491f7a670ffc2244cd402b1e19054ec2de,,,,,,,
Add Parameter,get_players_funds,get_players_funds,poker/scraper/recognize_table.py/TableScraper,117.0,117.0,['The parameters [ skip ] are added to the method get_players_funds from the module poker/scraper/recognize_table.py in class TableScraper'],3fba2b5658706d016c12a1cb22483be123677c3a,,,,,,,
Extract Method,mouse_action,move_mouse_away_from_buttons,mouse_mover.py/MouseMoverTableBased,,, The method move_mouse_away_from_buttons from the module mouse_mover.py in class MouseMoverTableBased is extracted from method mouse_action from the module mouse_mover.py in class MouseMoverTableBased ,40e491b842712ee9d5988e61a42a47971e474929,"(115,124)",97.0,"[132.0, 133.0, 135.0, 137.0, 138.0]",,,,
Remove Parameter,mouse_action,mouse_action,mouse_mover.py/MouseMoverTableBased,129.0,132.0,['The parameters [ logger ] of the method mouse_action from the module mouse_mover.py in class MouseMoverTableBased is/are removed'],459f72f53663dfe14c452f81f5b336936c4dd1c3,,,,,,,
Remove Parameter,move_mouse_away_from_buttons,move_mouse_away_from_buttons,mouse_mover.py/MouseMoverTableBased,100.0,101.0,['The parameters [ logger ] of the method move_mouse_away_from_buttons from the module mouse_mover.py in class MouseMoverTableBased is/are removed'],459f72f53663dfe14c452f81f5b336936c4dd1c3,,,,,,,
Change/Rename Parameter,drawfigure,drawfigure,gui/gui_qt_logic.py/ScatterPlot,459.0,474.0,['The parameters [ power2 ] of the method drawfigure from the module gui/gui_qt_logic.py in class ScatterPlot are changed/renamed to [power]'],474b263fcffddcd6de11a34212d341a050d6d315,,,,,,,
Add Parameter,get_two_short_notation,get_two_short_notation,decisionmaker/montecarlo_python.py/MonteCarlo,20.0,19.0,['The parameters [ add_O_to_pairs ] are added to the method get_two_short_notation from the module decisionmaker/montecarlo_python.py in class MonteCarlo'],485e90a9ef81d618d2df98fb54e2d0b735e133fe,,,,,,,
Add Parameter,testRun,testRun,tests/test_montecarlo.py/TestMonteCarlo,150.0,150.0,['The parameters [ opponent_range ] are added to the method testRun from the module tests/test_montecarlo.py in class TestMonteCarlo'],485e90a9ef81d618d2df98fb54e2d0b735e133fe,,,,,,,
Add Parameter,drawfigure,drawfigure,poker/gui/plots/bar_plotter_2.py/BarPlotter2,18.0,19.0,['The parameters [ last_stage ] are added to the method drawfigure from the module poker/gui/plots/bar_plotter_2.py in class BarPlotter2'],4bb3c747b0950f3673c88a91d525f736b9459738,,,,,,,
Add Parameter,get_stacked_bar_data,get_stacked_bar_data,poker/tools/game_logger.py/GameLogger,146.0,146.0,['The parameters [ last_stage ] are added to the method get_stacked_bar_data from the module poker/tools/game_logger.py in class GameLogger'],4bb3c747b0950f3673c88a91d525f736b9459738,,,,,,,
Change/Rename Parameter,calculate_implied_odds,calculate_implied_odds,decisionmaker/implied_odds.py/Implied_Odds,5.0,7.0,['The parameters [ outs ] of the method calculate_implied_odds from the module decisionmaker/implied_odds.py in class Implied_Odds are changed/renamed to [t]'],4fbb3bc1fe7014e4232f92fee7d7341703cddd87,,,,,,,
Add Parameter,check_fast_fold,check_fast_fold,table_analysers/table_screen_based.py/TableScreenBased,237.0,236.0,['The parameters [ mouse ] are added to the method check_fast_fold from the module table_analysers/table_screen_based.py in class TableScreenBased'],5304638d29de84864ab47e8648b98c39e6b994c8,,,,,,,
Remove Parameter,__init__,__init__,tools/mouse_mover.py/MouseMoverTableBased,91.0,91.0,['The parameters [ betplus_inc bet_bluff_inc ] of the method __init__ from the module tools/mouse_mover.py in class MouseMoverTableBased is/are removed'],5304638d29de84864ab47e8648b98c39e6b994c8,,,,,,,
Remove Parameter,get_new_hand,get_new_hand,table_analysers/table_screen_based.py/TableScreenBased,635.0,635.0,['The parameters [ preflop_state ] of the method get_new_hand from the module table_analysers/table_screen_based.py in class TableScreenBased is/are removed'],589410c06469383af116431376ba4583b5b8d1c7,,,,,,,
Add Parameter,get_flush,get_flush,decisionmaker/montecarlo_numpy.py/Evaluation,154.0,152.0,['The parameters [ iterations player_amount ] are added to the method get_flush from the module decisionmaker/montecarlo_numpy.py in class Evaluation'],599863db028da393cc7a6dd22119f05b5e3754b4,,,,,,,
Add Parameter,run_evaluation,run_evaluation,decisionmaker/montecarlo_numpy.py/Evaluation,61.0,26.0,['The parameters [ player_amount ] are added to the method run_evaluation from the module decisionmaker/montecarlo_numpy.py in class Evaluation'],599863db028da393cc7a6dd22119f05b5e3754b4,,,,,,,
Remove Parameter,get_other_player_status,get_other_player_status,table_analysers/table_screen_based.py/TableScreenBased,398.0,398.0,['The parameters [ preflop_state ] of the method get_other_player_status from the module table_analysers/table_screen_based.py in class TableScreenBased is/are removed'],5b312ba016ed2611ec2684955492ea2bc0a5056c,,,,,,,
Move Method,calculate_reverse_table,calculate_reverse_table,,,, method calculate_reverse_table from the module decisionmaker/current_hand_memory.py was moved to class CurrentHandPreflopState of module decisionmaker/current_hand_memory.py ,5b312ba016ed2611ec2684955492ea2bc0a5056c,,,,decisionmaker/current_hand_memory.py,decisionmaker/current_hand_memory.py/CurrentHandPreflopState,46.0,46.0
