Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Remove Parameter,__init__,__init__,datasets/activitynet.py/ActivityNet,201.0,111.0,['The parameters [ n_samples_for_each_video sample_duration ] of the method __init__ from the module datasets/activitynet.py in class ActivityNet is/are removed'],7ea2df27dd5b5ace14a9959f0595f31a28050728,,,
Remove Parameter,make_untrimmed_dataset,make_untrimmed_dataset,datasets/activitynet.py,132.0,75.0,['The parameters [ n_samples_for_each_video sample_duration ] of the method make_untrimmed_dataset from the module datasets/activitynet.py is/are removed'],7ea2df27dd5b5ace14a9959f0595f31a28050728,,,
Add Parameter,get_test_set,get_test_set,dataset.py,50.0,61.0,['The parameters [ file_type ] are added to the method get_test_set from the module dataset.py'],829c5597d78b9cf908d3c842c78e94d6e07b3f24,,,
Add Parameter,get_training_set,get_training_set,dataset.py,5.0,4.0,['The parameters [ file_type ] are added to the method get_training_set from the module dataset.py'],829c5597d78b9cf908d3c842c78e94d6e07b3f24,,,
Add Parameter,get_validation_set,get_validation_set,dataset.py,29.0,34.0,['The parameters [ file_type ] are added to the method get_validation_set from the module dataset.py'],829c5597d78b9cf908d3c842c78e94d6e07b3f24,,,
Remove Parameter,__init__,__init__,models/resnext.py/ResNeXt,40.0,40.0,['The parameters [ sample_size ] of the method __init__ from the module models/resnext.py in class ResNeXt is/are removed'],95ef96faa47c442d4e07178a2ecd90f04441082b,,,
Add Parameter,__init__,__init__,datasets/videodataset.py/VideoDataset,94.0,94.0,['The parameters [ video_path_formatter ] are added to the method __init__ from the module datasets/videodataset.py in class VideoDataset'],9eac8680ad84d4521bebf09d878696fd7e32dd80,,,
Add Parameter,make_dataset,make_dataset,datasets/videodataset.py,32.0,32.0,['The parameters [ video_path_formatter ] are added to the method make_dataset from the module datasets/videodataset.py'],9eac8680ad84d4521bebf09d878696fd7e32dd80,,,
Rename Class,VideoDataset,VideoDatasetHDF5,datasets/videodataset_hdf5.py,,, class VideoDataset was renamed to class VideoDatasetHDF5 ,9eac8680ad84d4521bebf09d878696fd7e32dd80,,,
Add Parameter,train_epoch,train_epoch,training.py,9.0,9.0,['The parameters [ tb_writer ] are added to the method train_epoch from the module training.py'],abd8a98c2b3a2aefd36ecf07b83e9581261b78e2,,,
Add Parameter,val_epoch,val_epoch,validation.py,8.0,8.0,['The parameters [ tb_writer ] are added to the method val_epoch from the module validation.py'],abd8a98c2b3a2aefd36ecf07b83e9581261b78e2,,,
Add Parameter,get_inference_data,get_inference_data,dataset.py,95.0,109.0,['The parameters [ input_type ] are added to the method get_inference_data from the module dataset.py'],b2d4a80ad7ed669f33179a1928e85fb1e25012e5,,,
Add Parameter,get_training_data,get_training_data,dataset.py,8.0,8.0,['The parameters [ input_type ] are added to the method get_training_data from the module dataset.py'],b2d4a80ad7ed669f33179a1928e85fb1e25012e5,,,
Add Parameter,get_validation_data,get_validation_data,dataset.py,51.0,58.0,['The parameters [ input_type ] are added to the method get_validation_data from the module dataset.py'],b2d4a80ad7ed669f33179a1928e85fb1e25012e5,,,
