Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Change/Rename Parameter,_k_prototypes_iter,_k_prototypes_iter,kmodes/kprototypes.py,72.0,72.0,['The parameters [ membership ] of the method _k_prototypes_iter from the module kmodes/kprototypes.py are changed/renamed to [membship]'],557791bc4351338222295a5c09c6b8063db2c089,,,,,,,
Change/Rename Parameter,move_point_num,move_point_num,kmodes/kprototypes.py,22.0,23.0,['The parameters [ membership ] of the method move_point_num from the module kmodes/kprototypes.py are changed/renamed to [membship]'],557791bc4351338222295a5c09c6b8063db2c089,,,,,,,
Remove Parameter,calc_dissim,calc_dissim,kmodes/util/dissim.py,41.0,35.0,['The parameters [ idj ] of the method calc_dissim from the module kmodes/util/dissim.py is/are removed'],637cbc72a76af883178ce29441b3b93b96025623,,,,,,,
Rename Method,test_kmodes_empty_cluster_soybean,test_kmodes_empty_init_cluster_soybean,kmodes/tests/test_kmodes.py/TestKModes,139.0,139.0,['The method test_kmodes_empty_cluster_soybean from the module kmodes/tests/test_kmodes.py in class TestKModes is renamed to test_kmodes_empty_init_cluster_soybean'],733871e600e991d0425b86599eb6e05c9f5d9b87,,,,,,,
Rename Method,test_kprotoypes_stocks,test_kprotoypes_categoricals_stocks,kmodes/tests/test_kprototypes.py/TestKProtoTypes,36.0,36.0,['The method test_kprotoypes_stocks from the module kmodes/tests/test_kprototypes.py in class TestKProtoTypes is renamed to test_kprotoypes_categoricals_stocks'],733871e600e991d0425b86599eb6e05c9f5d9b87,,,,,,,
Rename Class,TestDissimilarityMeasures,TestUtils,kmodes/util/tests/test_util.py,,, class TestDissimilarityMeasures was renamed to class TestUtils ,77435508fa3b3653b3029641e8309e2c90259767,,,,,,,
Rename Method,test_mode_from_dict,test_get_max_value_key,kmodes/tests/test_kmodes.py,12.0,13.0,['The method test_mode_from_dict from the module kmodes/tests/test_kmodes.py is renamed to test_get_max_value_key'],7839b964b307e289146e1285e6655a497e7fc3a5,,,,,,,
Add Parameter,fit,fit,kmodes/kprototypes.py/KPrototypes,291.0,298.0,['The parameters [ categorical ] are added to the method fit from the module kmodes/kprototypes.py in class KPrototypes'],7cacd4febcf4729ea33344541c8cc45fccc125e8,,,,,,,
Add Parameter,predict,predict,kmodes/kprototypes.py/KPrototypes,307.0,322.0,['The parameters [ categorical ] are added to the method predict from the module kmodes/kprototypes.py in class KPrototypes'],7cacd4febcf4729ea33344541c8cc45fccc125e8,,,,,,,
Add Parameter,k_prototypes,k_prototypes,kmodes/kprototypes.py,105.0,105.0,['The parameters [ categorical ] are added to the method k_prototypes from the module kmodes/kprototypes.py'],7cacd4febcf4729ea33344541c8cc45fccc125e8,,,,,,,
