Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,load_model,load_model,pycorrector/rnn_crf/rnn_crf_model.py,31.0,31.0,['The parameters [ dropout ] are added to the method load_model from the module pycorrector/rnn_crf/rnn_crf_model.py'],4e99f18d78de145acffc3786627a4d19e74604a0,,,,,,,
Add Parameter,train,train,pycorrector/rnn_crf/train.py,22.0,22.0,['The parameters [ dropout ] are added to the method train from the module pycorrector/rnn_crf/train.py'],4e99f18d78de145acffc3786627a4d19e74604a0,,,,,,,
Remove Parameter,decode_sequence,decode_sequence,pycorrector/seq2seq/infer.py,20.0,18.0,['The parameters [ reverse_target_char_index ] of the method decode_sequence from the module pycorrector/seq2seq/infer.py is/are removed'],4f346f006555f5de531f0ca0283d539a76227525,,,,,,,
Add Parameter,infer,infer,pycorrector/seq2seq/infer.py,88.0,86.0,['The parameters [ save_input_token_path save_target_token_path ] are added to the method infer from the module pycorrector/seq2seq/infer.py'],4f346f006555f5de531f0ca0283d539a76227525,,,,,,,
Add Parameter,train,train,pycorrector/seq2seq/train.py,15.0,15.0,['The parameters [ save_input_token_path save_target_token_path ] are added to the method train from the module pycorrector/seq2seq/train.py'],4f346f006555f5de531f0ca0283d539a76227525,,,,,,,
Rename Method,is_unknow_token,is_unknown_token,pycorrector/seq2seq/reader.py/Reader,85.0,82.0,['The method is_unknow_token from the module pycorrector/seq2seq/reader.py in class Reader is renamed to is_unknown_token'],52dd8f17b382dea2ddaf3b4054d7845c8c3b4f72,,,,,,,
Add Parameter,parse_xml_file,parse_xml_file,pycorrector/transformer/preprocess.py,24.0,24.0,['The parameters [ use_short_text maximum_length ] are added to the method parse_xml_file from the module pycorrector/transformer/preprocess.py'],5341cc169bcbd771cf2ea413424eb28f2431fe68,,,,,,,
Change/Rename Parameter,main,main,pycorrector/transformer/train.py,18.0,18.0,['The parameters [ vocab_path shuffle_buffer_size gradients_accum ] of the method main from the module pycorrector/transformer/train.py are changed/renamed to [src_vocab_path tgt_vocab_path batch_size]'],5341cc169bcbd771cf2ea413424eb28f2431fe68,,,,,,,
Add Parameter,__init__,__init__,pycorrector/macbert/infer.py/Inference,21.0,20.0,['The parameters [ config_file ] are added to the method __init__ from the module pycorrector/macbert/infer.py in class Inference'],5702a59e539c64fc98f5edc9e455cd61b73b188b,,,,,,,
Rename Method,transform_corpus_data,save_corpus_data,pycorrector/seq2seq_attention/preprocess.py,47.0,47.0,['The method transform_corpus_data from the module pycorrector/seq2seq_attention/preprocess.py is renamed to save_corpus_data'],5c58bbd49d94b38a7b70a836ae91f537f7dded7b,,,,,,,
Add Parameter,__init__,__init__,pycorrector/bert/bert_corrector.py/BertCorrector,24.0,23.0,['The parameters [ device ] are added to the method __init__ from the module pycorrector/bert/bert_corrector.py in class BertCorrector'],63d317633ee67e1dca7449f922eeba1d1aa6a510,,,,,,,
Add Parameter,__init__,__init__,pycorrector/electra/electra_corrector.py/ElectraCorrector,24.0,24.0,['The parameters [ device ] are added to the method __init__ from the module pycorrector/electra/electra_corrector.py in class ElectraCorrector'],63d317633ee67e1dca7449f922eeba1d1aa6a510,,,,,,,
Rename Method,check_initialized,check_corrector_initialized,pycorrector/corrector.py/Corrector,102.0,103.0,['The method check_initialized from the module pycorrector/corrector.py in class Corrector is renamed to check_corrector_initialized'],64e1e17261d23a30e57f84532f4bf7f40df359d8,,,,,,,
Rename Method,initialize,initialize_corrector,pycorrector/corrector.py/Corrector,90.0,91.0,['The method initialize from the module pycorrector/corrector.py in class Corrector is renamed to initialize_corrector'],64e1e17261d23a30e57f84532f4bf7f40df359d8,,,,,,,
