Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Remove Parameter,__init__,__init__,tensorpack/train/multigpu.py/SyncMultiGPUTrainer,66.0,66.0,['The parameters [ input_queue average_cost ] of the method __init__ from the module tensorpack/train/multigpu.py in class SyncMultiGPUTrainer is/are removed'],171268689e8786d3832eed281b435c9bcff8ae3d,,,,,,,
Remove Parameter,__init__,__init__,tensorpack/train/multigpu.py/AsyncMultiGPUTrainer,156.0,136.0,['The parameters [ input_queue ] of the method __init__ from the module tensorpack/train/multigpu.py in class AsyncMultiGPUTrainer is/are removed'],171268689e8786d3832eed281b435c9bcff8ae3d,,,,,,,
Remove Parameter,_build_graph,_build_graph,examples/Atari2600/DQN.py/Model,94.0,94.0,['The parameters [ is_training ] of the method _build_graph from the module examples/Atari2600/DQN.py in class Model is/are removed'],a6a0889a3767778a1e77bad1d29bd9f066905ade,,,,,,,
Remove Parameter,_get_DQN_prediction,_get_DQN_prediction,examples/Atari2600/DQN.py/Model,73.0,73.0,['The parameters [ is_training ] of the method _get_DQN_prediction from the module examples/Atari2600/DQN.py in class Model is/are removed'],a6a0889a3767778a1e77bad1d29bd9f066905ade,,,,,,,
Remove Parameter,_build_graph,_build_graph,examples/Inception/inception-bn.py/Model,33.0,33.0,['The parameters [ is_training ] of the method _build_graph from the module examples/Inception/inception-bn.py in class Model is/are removed'],a6a0889a3767778a1e77bad1d29bd9f066905ade,,,,,,,
Remove Parameter,_build_graph,_build_graph,examples/Inception/inceptionv3.py/Model,36.0,36.0,['The parameters [ is_training ] of the method _build_graph from the module examples/Inception/inceptionv3.py in class Model is/are removed'],a6a0889a3767778a1e77bad1d29bd9f066905ade,,,,,,,
Remove Parameter,_build_graph,_build_graph,examples/OpenAIGym/run-atari.py/Model,59.0,59.0,['The parameters [ is_training ] of the method _build_graph from the module examples/OpenAIGym/run-atari.py in class Model is/are removed'],a6a0889a3767778a1e77bad1d29bd9f066905ade,,,,,,,
Remove Parameter,_get_NN_prediction,_get_NN_prediction,examples/OpenAIGym/run-atari.py/Model,42.0,42.0,['The parameters [ is_training ] of the method _get_NN_prediction from the module examples/OpenAIGym/run-atari.py in class Model is/are removed'],a6a0889a3767778a1e77bad1d29bd9f066905ade,,,,,,,
Remove Parameter,_build_graph,_build_graph,examples/ResNet/cifar10-resnet.py/Model,40.0,40.0,['The parameters [ is_training ] of the method _build_graph from the module examples/ResNet/cifar10-resnet.py in class Model is/are removed'],a6a0889a3767778a1e77bad1d29bd9f066905ade,,,,,,,
Remove Parameter,_build_graph,_build_graph,examples/svhn-digit-convnet.py/Model,27.0,27.0,['The parameters [ is_training ] of the method _build_graph from the module examples/svhn-digit-convnet.py in class Model is/are removed'],a6a0889a3767778a1e77bad1d29bd9f066905ade,,,,,,,
Remove Parameter,resnet_basicblock,resnet_basicblock,examples/ResNet/resnet_model.py,73.0,72.0,['The parameters [ preact ] of the method resnet_basicblock from the module examples/ResNet/resnet_model.py is/are removed'],b5b2d4a05d57509086fcd5af90fa69e73f978e4e,,,,,,,
Remove Parameter,resnet_bottleneck,resnet_bottleneck,examples/ResNet/resnet_model.py,80.0,79.0,['The parameters [ preact ] of the method resnet_bottleneck from the module examples/ResNet/resnet_model.py is/are removed'],b5b2d4a05d57509086fcd5af90fa69e73f978e4e,,,,,,,
Remove Parameter,se_resnet_bottleneck,se_resnet_bottleneck,examples/ResNet/resnet_model.py,91.0,90.0,['The parameters [ preact ] of the method se_resnet_bottleneck from the module examples/ResNet/resnet_model.py is/are removed'],b5b2d4a05d57509086fcd5af90fa69e73f978e4e,,,,,,,
Rename Method,vs_name_for_predictor,_main_tower_vs_name,tensorpack/train/base.py/Trainer,292.0,312.0,['The method vs_name_for_predictor from the module tensorpack/train/base.py in class Trainer is renamed to _main_tower_vs_name'],9a711e72b0df2fe9c62279ed8b6c062eb81d2652,,,,,,,
