Refactoring Type,Original,Updated,Location,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Description,Commit,Original Line,Updated Line,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,__init__,__init__,seglearn/pipe.py/SegPipe,,,,['The parameters [ random_state ] are added to the method __init__ from the module seglearn/pipe.py in class SegPipe'],b5ef785cb14d4cf6ecb263b9d70f11eb3862458b,71.0,74.0,,,,
Remove Parameter,__init__,__init__,seglearn/split.py/TemporalKFold,,,,['The parameters [ shuffle random_state ] of the method __init__ from the module seglearn/split.py in class TemporalKFold is/are removed'],b5ef785cb14d4cf6ecb263b9d70f11eb3862458b,41.0,36.0,,,,
Remove Parameter,__init__,__init__,seglearn/features.py/SegFeatures,,,,['The parameters [ corr_features ] of the method __init__ from the module seglearn/features.py in class SegFeatures is/are removed'],b7eb836b40893bc25e782658cfec6f7bd6c4c451,39.0,37.0,,,,
Rename Method,_base_features,base_features,seglearn/features.py/SegFeatures,,,,['The method _base_features from the module seglearn/features.py in class SegFeatures is renamed to base_features'],b7eb836b40893bc25e782658cfec6f7bd6c4c451,123.0,104.0,,,,
Remove Parameter,fit,fit,seglearn/features.py/SegFeatures,,,,['The parameters [ x_labels ] of the method fit from the module seglearn/features.py in class SegFeatures is/are removed'],b7eb836b40893bc25e782658cfec6f7bd6c4c451,46.0,43.0,,,,
Remove Parameter,_compute_features,_compute_features,seglearn/features.py,,,,['The parameters [ corr_feats ] of the method _compute_features from the module seglearn/features.py is/are removed'],b7eb836b40893bc25e782658cfec6f7bd6c4c451,187.0,167.0,,,,
Rename Method,_corr_features,corr2,seglearn/features.py,,,,['The method _corr_features from the module seglearn/features.py is renamed to corr2'],b7eb836b40893bc25e782658cfec6f7bd6c4c451,231.0,272.0,,,,
Inline Method,_ts_expand,_expand_recarray,seglearn/pipe.py/SegPipe,"(129,131)",149.0,"[133.0, 134.0, 140.0, 141.0, 146.0, 149.0, 150.0]", The method _expand_recarray from the module seglearn/pipe.py in class SegPipe is inlined into method _ts_expand from the module seglearn/pipe.py in class SegPipe ,b7eb836b40893bc25e782658cfec6f7bd6c4c451,,,,,,
Rename Method,maxf,maximum,seglearn/feature_functions.py,,,,['The method maxf from the module seglearn/feature_functions.py is renamed to maximum'],b8203ab31e0fc428580083343fb0742569c297fb,98.0,98.0,,,,
Rename Method,minf,minimum,seglearn/feature_functions.py,,,,['The method minf from the module seglearn/feature_functions.py is renamed to minimum'],b8203ab31e0fc428580083343fb0742569c297fb,93.0,93.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/SegmentXY,,,,['The parameters [ forecast ] are added to the method __init__ from the module seglearn/transform.py in class SegmentXY'],b8308aacd6773d8b14ba145a20dfee84fbe202c5,164.0,170.0,,,,
Change/Rename Parameter,__getitem__,__getitem__,seglearn/base.py/TS_Data,,,,['The parameters [ slice ] of the method __getitem__ from the module seglearn/base.py in class TS_Data are changed/renamed to [indices]'],bd0e5bc3663a554142aafe0325171eb1c8ab8fa0,38.0,38.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/SegmentX,,,,['The parameters [ step ] are added to the method __init__ from the module seglearn/transform.py in class SegmentX'],d527603d2ddf14b4f657d71c8b119d5fd43d6d79,123.0,125.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/SegmentXY,,,,['The parameters [ step ] are added to the method __init__ from the module seglearn/transform.py in class SegmentXY'],d527603d2ddf14b4f657d71c8b119d5fd43d6d79,266.0,279.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/SegmentXYForecast,,,,['The parameters [ step ] are added to the method __init__ from the module seglearn/transform.py in class SegmentXYForecast'],d527603d2ddf14b4f657d71c8b119d5fd43d6d79,408.0,431.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/Interp,,,,['The parameters [ assume_sorted ] are added to the method __init__ from the module seglearn/transform.py in class Interp'],ea2d56b0cc3a76f4e30685626bdf4bad2c4b3427,725.0,729.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/InterpLongToWide,,,,['The parameters [ assume_sorted ] are added to the method __init__ from the module seglearn/transform.py in class InterpLongToWide'],ea2d56b0cc3a76f4e30685626bdf4bad2c4b3427,870.0,881.0,,,,
Add Parameter,__init__,__init__,seglearn/transform.py/Interp,,,,['The parameters [ kind ] are added to the method __init__ from the module seglearn/transform.py in class Interp'],fee83e1c5852063f7ae60d2b1e362a0e0680e775,612.0,617.0,,,,
